agentType,gamemode,score,deepestRoom,finalHP,performance,seed
random,e,-168,2,-3,14,2039080015526189811
random,e,-160,5,-2,17,3553179206997015914
random,e,-175,2,-3,11,8749972576815394536
random,e,-188,2,-3,7,6897199643758795316
random,e,-180,1,-1,10,7216441938381405444
random,e,-160,5,-4,17,2429600414957840093
random,e,-122,11,-10,30,2168204112855656183
random,e,-179,2,-6,10,3897464245920967849
random,e,-188,1,-2,7,4578288689013080541
random,e,-116,11,-6,33,4274692702863319717
random,e,-132,7,-5,27,2785454345295148988
random,e,-171,2,-10,13,1684161980969995993
random,e,-177,1,-5,11,1764882052068220162
random,e,-125,6,-7,29,7037084619359939537
random,e,-188,1,-1,7,788561111724541017
random,e,-184,1,-9,8,6203606901920527860
random,e,-184,2,-6,8,3275193861501084091
random,e,-157,6,-3,18,5209386036009719208
random,e,-157,4,0,18,4038803425300376648
random,e,-179,1,-6,10,8268190958529853981
random,e,-188,1,0,7,82356797088865805
random,e,-164,6,-4,15,3518242687695433943
random,e,-149,5,-8,21,1380999007273349000
random,e,-131,6,-1,27,8928272878654211679
random,e,-188,2,0,7,6275860139144728860
random,e,-186,3,-2,7,1441907031339717928
random,e,-175,2,-2,11,1668700618495689117
random,e,-125,7,-4,29,6673079255882065339
random,e,-179,3,-7,10,3128099324236642124
random,e,-169,4,-10,14,1463200657185879205
random,e,-188,2,-1,7,6495647582679805585
random,e,-150,4,-10,20,6466808525957881978
random,e,-120,10,-1,31,761095913444560604
random,e,-181,3,-6,9,1438594377471917849
random,e,-94,11,-6,41,7778699530434886065
random,e,-184,2,-3,8,871431783596472016
random,e,-123,8,-6,30,7674537907699839934
random,e,-130,8,-2,28,7770380576201354964
random,e,-181,2,-2,9,1543406268505714460
random,e,-180,3,0,10,2918692940247800930
random,e,-101,9,-3,38,2587281687990022206
random,e,-100,7,-2,38,1715167041528849543
random,e,-166,5,-4,15,8506493814899571262
random,e,-188,1,-4,7,2792595554831712777
random,e,-188,1,0,7,6150169954071425809
random,e,-147,5,-2,21,1000631995390948335
random,e,-148,5,-6,21,4372982296772733587
random,e,-188,1,-3,7,4404996565566817760
random,e,-156,4,-4,18,5428138258863855486
random,e,-78,12,-1,46,488192943234049067
random,e,-173,2,-2,12,261464815157806777
random,e,-171,3,0,13,6491207126715326121
random,e,-180,2,-3,10,7357110579752291216
random,e,-169,3,-3,14,4431258266954719505
random,e,-170,2,0,13,670630926572081397
random,e,-188,3,-1,7,5819736996878301345
random,e,-114,8,0,33,4224427616718040430
random,e,-141,6,0,24,5706797120646977889
random,e,-173,4,-6,12,2150423373394564590
random,e,-185,2,-6,8,7598801880355445182
random,e,-100,12,-9,38,4564618167662798255
random,e,-180,2,-1,10,4774694572384015329
random,e,-121,8,-3,31,6181699981767283070
random,e,-131,9,-11,27,40103462499759815
random,e,-165,3,-3,15,7370014689804572300
random,e,-179,1,-7,10,4212925426463259682
random,e,-155,6,-11,19,2321677010793762330
random,e,-170,3,-4,13,2633563742741835985
random,e,-149,4,-3,21,922678550377616632
random,e,-166,3,-10,15,5917043165997583957
random,e,-188,1,-8,7,4479694890709024418
random,e,-125,9,-1,29,8085824008529843146
random,e,-180,2,-3,10,5418644745243462303
random,e,-186,2,-3,7,7187749518956624920
random,e,-130,7,-8,28,2343157320982735786
random,e,-188,2,0,7,3662534471106226723
random,e,-150,5,-11,20,3329874540608882779
random,e,-164,5,-3,15,8096886742507575852
random,e,-181,3,-7,9,9146327468079588928
random,e,-180,2,-2,10,1774384951565685840
random,e,-178,1,-2,10,979512711915068905
